session_id,object_position,heading,target,value,time,view_point
3,571,225,315,235.8458,10.3800000000047,0
3,216,270,135,137.8271,6.2980000000025,0
3,382,180,270,296.834,14.5499999999956,0
3,305,315,225,263.5119,5.31499999999505,0
3,581,135,315,260.4284,10.4919999999984,0
3,107,45,180,103.0274,3.92200000000594,0
3,583,135,45,215.0674,3.9519999999975,0
3,748,315,90,188.2559,5.66500000000087,0
3,230,90,0,232.8793,9.61300000000483,0
3,783,90,45,315,9.64600000000064,0
3,643,270,0,135,47.3150000000023,0
3,318,270,180,303.5342,12.5149999999994,0
3,380,180,315,315,6.19999999999709,0
3,624,315,270,296.4751,10.8830000000016,0
3,581,135,315,260.4284,10.4919999999984,0
3,718,0,90,104.7214,5.40999999999622,0
3,104,45,225,144.6327,22.6620000000039,0
3,263,135,90,314.7744,6.36900000000605,0
3,518,315,135,225,33.7450000000026,0
3,543,270,45,225,7.3839999999982,0
3,465,90,90,315,6.94800000000396,0
3,317,270,225,295.7505,22.5470000000059,0
3,572,225,0,151.7529,38.0220000000045,0
3,815,315,315,49.60287,5.8949999999968,0
3,250,180,0,181.5724,3.69499999999971,0
3,206,0,135,134.5471,4.43400000000111,0
3,534,45,270,64.24953,37.4170000000013,0
3,185,135,135,308.2464,6.70799999999872,0
3,518,315,135,225,33.7450000000026,0
3,128,90,135,45.22557,18.3020000000033,0
3,321,270,270,102.1715,41.3570000000036,0
3,140,225,45,135,5.80999999999767,0
3,170,180,45,308.2464,12.4069999999992,0
3,205,0,180,169.1228,8.07100000000355,0
3,534,45,270,64.24953,37.4170000000013,0
3,170,180,45,308.2464,12.4069999999992,0
3,527,0,225,45,34.7390000000014,0
3,734,45,315,186.0441,68.4979999999996,0
3,867,0,270,225,4.90899999999965,0
3,137,90,180,93.81408,70.6759999999995,0
3,032,135,180,103.0274,5.93299999999726,0
3,102,45,90,40.65676,5.29200000000128,0
3,310,270,315,45,7.27199999999721,0
3,142,225,90,313.3832,52.7249999999985,0
3,172,180,90,276.0441,3.82299999999668,0
3,714,0,315,258.6901,16.6080000000002,0
3,124,90,225,50.66169,13.1610000000001,0
3,863,0,0,347.3998,3.91700000000128,0
3,154,135,225,103.0274,6.10499999999593,0
3,538,45,135,52.87928,23.6160000000018,0
3,510,315,0,225,10.5529999999999,0
3,148,225,135,263.5119,19.5200000000041,0
3,023,180,135,302.9052,5.12299999999959,0
3,751,45,0,240.717,22.3780000000042,0
3,543,270,45,225,7.3839999999982,0
3,231,90,270,135,6.59100000000035,0
3,523,0,45,225,5.50200000000041,0
3,261,135,270,200.8264,4.70900000000256,0
3,513,315,45,82.18471,9.07400000000052,0
3,147,225,180,315,27.0550000000003,0
3,014,225,225,298.2471,5.67000000000553,0
3,543,270,45,225,23.7639999999956,0
3,368,180,180,355.7388,26.6770000000033,0
3,735,45,45,298.94,40.487000000001,0
3,684,180,270,60.37625,4.5789999999979,0
3,784,90,315,225,7.95500000000175,0
3,516,315,90,139.8645,14.9229999999952,0
3,781,90,0,225,5.82900000000518,0
3,461,90,45,257.8286,8.04299999999785,0
3,574,225,270,57.09476,5.79000000000087,0
3,546,270,90,235.8458,4.79100000000471,0
3,174,180,225,51.20345,23.4910000000018,0
3,628,315,180,225,32.0639999999985,0
3,682,180,315,135,10.2419999999984,0
3,260,135,0,268.8767,3.92299999999523,0
3,203,0,90,89.32597,23.7350000000006,0
3,537,45,225,225,6.84599999999773,0
3,123,90,90,2.918435,9.27500000000146,0
3,370,225,315,63.52489,6.45900000000256,0
3,548,270,135,225,16.0269999999946,0
3,517,315,225,259.5568,42.2150000000038,0
3,570,225,0,315,5.79899999999907,0
3,471,135,45,295.0169,11.1860000000015,0
3,683,180,0,357.9786,8.8070000000007,0
3,528,0,135,63.52489,50.0659999999989,0
3,236,90,135,225,4.07200000000012,0
3,873,270,0,119.283,10.3099999999977,0
3,648,270,180,300.2983,13.3479999999981,0
3,302,315,270,310.9144,5.95899999999529,0
3,107,45,180,57.09476,10.7869999999966,0
3,573,225,45,210.9638,16.8580000000002,0
3,476,135,90,315,11.1080000000002,0
3,638,0,180,198.0296,5.75400000000081,0
3,507,0,225,242.8093,26.1810000000041,0
3,531,45,315,225.913,21.1390000000029,0
3,634,0,270,225,7.05500000000029,0
3,235,90,180,135,13.3700000000026,0
3,543,270,45,225,23.7639999999956,0
3,547,270,225,288.0295,6.12900000000081,0
3,851,315,315,45,7.10199999999895,0
3,581,135,315,225,7.19700000000012,0
3,107,45,180,57.09476,10.7869999999966,0
3,576,225,90,162.7868,5.61200000000099,0
3,158,135,135,45,8.4690000000046,0
3,253,180,90,235.2348,6.27700000000186,0
3,632,0,315,124.1542,52.3709999999992,0
3,567,90,225,113.1443,12.6189999999988,0
3,654,270,270,264.4007,17.4449999999997,0
3,581,135,315,225,7.19700000000012,0
3,518,315,135,136.8551,10.5079999999944,0
3,578,225,135,315,49.7740000000049,0
3,256,180,135,305.9605,10.762999999999,0
3,731,45,0,315,9.80900000000111,0
3,157,135,180,117.1907,12.1710000000021,0
3,406,45,90,54.63272,3.81999999999971,0
3,564,90,270,127.6879,41.8510000000024,0
3,642,270,315,55.8458,5.72999999999593,0
3,534,45,270,200.0372,14.0969999999943,0
3,518,315,135,136.8551,10.5079999999944,0
3,376,225,180,298.2471,6.25999999999476,0
3,357,225,225,246.1001,4.61399999999412,0
3,052,180,180,339.9628,4.95200000000477,0
3,410,45,45,348.2586,7.46199999999953,0
3,520,0,0,3.814075,6.26600000000326,0
3,031,135,225,195.141,5.0940000000046,0
3,105,45,135,66.47679,6.77399999999761,0
3,561,90,315,225,32.9110000000001,0
3,741,315,0,64.98311,5.46199999999953,0
3,170,180,45,225,5.47000000000116,0
3,534,45,270,200.0372,14.0969999999943,0
3,170,180,45,225,5.47000000000116,0
3,371,225,270,57.73281,5.56399999999849,0
3,213,270,90,135,8.84300000000076,0
3,024,180,225,68.00516,7.03899999999703,0
3,306,315,180,68.00516,57.2969999999987,0
3,715,0,45,83.06865,6.87600000000384,0
3,584,135,270,148.38,6.58299999999872,0
3,107,45,180,103.0274,3.92200000000594,0
3,580,135,0,173.5119,7.51499999999942,0
3,743,315,45,135,5.20100000000093,0
4,172,180,90,336.8014,5.75,180
4,714,0,315,158.9625,6.0769999999975,180
